Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,185.3601865109521,0.002342643848922553,3.2959859926084164e-05,0.16185263350603166
1.35,0.01,186.16897329508336,0.00415442237634883,4.872483884024365e-06,3.5338781450895365
1.35,0.01,186.98467387645934,0.004107056191352296,1.7178027414022178e-06,9.811256484108748
1.35,0.01,187.80736461152975,0.003418221530109188,2.315497453463317e-05,0.49779700252058506
1.35,0.01,188.63713567462852,0.004658586702824984,6.881637804579508e-05,0.30611886635772845
1.35,0.01,189.47407879777865,0.004908494874253126,0.0001383077038179352,0.16452218504717706
1.35,0.01,38.25674223448957,0.7195259570265732,0.8552670561568689,0.02154373404243602
1.35,0.01,38.42298171133123,0.6931335308715592,0.8540875855537342,0.03033202701551588
1.35,0.01,38.59063367802369,0.6980756848108667,0.8528942890250505,0.028102896829367913
1.35,0.01,38.759718793387876,0.7298445601037821,0.8516869391994891,0.017430777273226145
1.35,0.01,38.93025288521575,0.7056456011978244,0.8504653415627447,0.024660331437875084
1.35,0.01,39.10225464558383,0.7005406634304849,0.8492292796270883,0.02603337534024847
1.35,0.01,39.27574308945913,0.7208461024975467,0.8479785329601481,0.01906021703038535
1.35,0.01,39.45074024806574,0.7460478646993901,0.8467128576431372,0.0119679779430438
1.35,0.01,39.6272631651656,0.749364685531938,0.8454320440935044,0.010916237970246415
1.35,0.01,39.80533460298176,0.7576065576879856,0.8441358395988692,0.008869800660958927
1.35,0.01,39.98496949590199,0.7388459539324289,0.8428240467386184,0.012827640390005947
1.35,0.01,40.16619407828111,0.724759566961125,0.841496383956596,0.01619434700142097
1.35,0.01,40.34902953334694,0.7456592161279159,0.8401526046086958,0.010627831679148703
1.35,0.01,40.53349458652071,0.7102689074844298,0.8387924784166605,0.019692961859115343
1.35,0.01,40.719611107272804,0.7313660600913342,0.8374157502688027,0.013430051659676829
1.35,0.01,40.90740135814745,0.7458860650548529,0.8360221603078005,0.009718062574390642
1.35,0.01,41.09689091886158,0.7387484047408335,0.8346114220931999,0.011010774418653847
1.35,0.01,41.2881000041136,0.7281807762000267,0.8331832871691298,0.013233015447630447
1.35,0.01,41.481052110995975,0.7317271915755412,0.8317374808264393,0.012025498653866061
1.35,0.01,41.67577416459906,0.7452200764701835,0.830273700628985,0.008712932828134087
1.35,0.01,41.87228456450208,0.7038593489181497,0.8287917063093728,0.018832348109311413
1.35,0.01,42.07061720792638,0.7451273196586894,0.8272911387774038,0.00816023870647218
1.35,0.01,42.27078829504064,0.7224362510385437,0.8257717706155822,0.012931211729720763
1.35,0.01,42.47282971611503,0.7275768957632791,0.8242332536202582,0.011334718022042672
1.35,0.01,42.676764650038756,0.7194416714628228,0.8226753036160668,0.012954300148196596
1.35,0.01,42.882622998511444,0.7119304780846349,0.8210975830745444,0.014514056620717114
1.35,0.01,43.09042888215269,0.7166295712015653,0.8194997966078732,0.012913100551028154
1.35,0.01,43.30021005271624,0.7281480182883304,0.817881618996329,0.00984509115867375
1.35,0.01,43.511994791735766,0.7257943084112362,0.8162427188096828,0.010022649825943886
1.35,0.01,43.725815223352406,0.7082673703366148,0.814582732615926,0.013875762158968446
1.35,0.01,43.94169749234296,0.7252117292519829,0.8129013411585507,0.00945928816572676
1.35,0.01,44.15967491465589,0.72347882333602,0.8111981672278347,0.009485577758522355
1.35,0.01,54.55985337379823,0.7253741551439242,0.7243363743769757,1.4868629525537135e-06
1.35,0.01,54.79693580559089,0.7306173856207016,0.7222466575487042,9.701545548599421e-05
1.35,0.01,55.03603265980036,0.7176459660588054,0.7201350765296624,8.603484454592684e-06
1.35,0.01,55.27717339900436,0.7087914384367745,0.7180013231408848,0.00011813623948762802
1.35,0.01,55.52038059600858,0.6971141567719238,0.7158451503927997,0.0004901201353851121
1.35,0.01,55.76568090851811,0.6923640134894922,0.7136662755832938,0.0006358523386048018
1.35,0.01,56.013101454728435,0.7033909867792298,0.7114644123290069,9.161413976339784e-05
1.35,0.01,56.26267365447002,0.7135135064685502,0.7092392363435648,2.5759129169910457e-05
1.35,0.01,56.51442181470414,0.6963714928201294,0.7069904872366748,0.00015949725555624382
1.35,0.01,56.76837839777545,0.699204683042905,0.704717832445545,4.313047710223618e-05
1.35,0.01,57.02456470236126,0.6950218631774796,0.7024210400334691,7.794159773972792e-05
1.35,0.01,57.283018142586975,0.6987934481827498,0.7000997344809771,2.4373440081381137e-06
1.35,0.01,57.543768928913224,0.7009395788862074,0.6977536055055652,1.4547293345486963e-05
1.35,0.01,57.80684376659966,0.6941628673523988,0.6953823754007485,2.1386792829378306e-06
1.35,0.01,58.07227384479177,0.6724363019348981,0.6929857272407489,0.0006093615839421726
1.35,0.01,58.34009091321723,0.6812929547010526,0.6905633401751876,0.00012444918784314891
