Trial,Angular Diameter,Visibility Value,Chi-Squared Value
381,1.486999999999985,1.01,2.855859625012682
382,1.487999999999985,1.01,3.2678972620922697
383,1.487999999999985,1.01,3.040736469753144
384,1.487999999999985,1.01,2.8216846309483166
385,1.4849999999999852,1.01,2.8248252645942658
386,1.487999999999985,1.01,2.682943828627394
387,1.4929999999999843,1.02,3.3776456029916813
388,1.4809999999999857,1.01,3.4222206595837923
389,1.486999999999985,1.01,2.3763023998920527
390,1.487999999999985,1.01,3.5316952598234357
391,1.4809999999999857,1.01,2.4349814658848494
392,1.4699999999999869,0.99,2.829019149919398
393,1.4929999999999843,1.02,2.8523114948120067
394,1.487999999999985,1.01,3.120845594424338
395,1.4949999999999841,1.02,3.3519954173927142
396,1.4849999999999852,1.01,2.730293778621723
397,1.487999999999985,1.01,2.7731118764839184
398,1.487999999999985,1.01,3.204178251005773
399,1.4849999999999852,1.01,2.6273542450294776
400,1.4919999999999844,1.02,3.010534563242108
401,1.4819999999999856,1.0,2.7016632524151016
402,1.4929999999999843,1.02,3.1740941157242806
403,1.487999999999985,1.01,2.8676401345380813
404,1.4849999999999852,1.01,2.991069754984483
405,1.487999999999985,1.01,2.7542415214715796
406,1.4839999999999853,1.01,3.3987130290300662
407,1.4929999999999843,1.02,3.429222747335206
408,1.487999999999985,1.02,2.6508006492559213
409,1.4849999999999852,1.01,3.0071430850389014
410,1.487999999999985,1.01,3.109935180493326
411,1.4889999999999848,1.01,2.8922491624582394
412,1.487999999999985,1.01,2.9252891425735963
413,1.4699999999999869,0.99,2.514865102452902
414,1.487999999999985,1.01,2.963394479111252
415,1.4849999999999852,1.01,2.830582142973826
416,1.4849999999999852,1.01,2.7227624549842004
417,1.4929999999999843,1.02,3.1953691574543037
418,1.4849999999999852,1.01,3.089523236271992
419,1.487999999999985,1.01,2.9706512896455064
420,1.487999999999985,1.02,3.2044451311671467
421,1.487999999999985,1.01,2.8350512757589486
422,1.4839999999999853,1.01,2.9319580544902792
423,1.4809999999999857,1.0,2.6635686604352515
424,1.487999999999985,1.01,2.840075101577512
425,1.4849999999999852,1.01,2.7750272800162175
426,1.4699999999999869,0.99,2.5990425236138535
427,1.4819999999999856,1.01,2.5012137934416283
428,1.487999999999985,1.01,3.0500387459754417
429,1.4949999999999841,1.02,3.5109250403380097
430,1.487999999999985,1.01,2.9721072477764627
431,1.4929999999999843,1.02,2.8155731427669015
432,1.4809999999999857,1.01,2.7574795272859016
433,1.4849999999999852,1.02,3.3210612894134317
434,1.487999999999985,1.01,3.0078671215045722
435,1.4849999999999852,1.01,2.5908920010401024
436,1.4889999999999848,1.01,2.6957462014694435
437,1.487999999999985,1.01,3.604680593332369
438,1.487999999999985,1.01,2.7334736989740342
439,1.4889999999999848,1.01,2.9045119673951705
440,1.4929999999999843,1.02,3.216315896043129
441,1.487999999999985,1.02,3.0507460055979263
442,1.487999999999985,1.01,2.7845961644179766
443,1.4639999999999875,0.99,3.5023330591612774
